host_response_time,host_acceptance_rate,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,log_price,num_amenities,amenity_wifi,amenity_kitchen,amenity_air_conditioning,amenity_heating,amenity_washer,amenity_dryer,amenity_tv,amenity_parking,amenity_pool,amenity_pets_allowed,amenity_long_term_stays_allowed,num_host_verifications,host_duration_days,days_since_last_review,neighbourhood_group,has_reviews
within_hour,0.76,1,50.09532716485353,14.50264386959819,Entire rental unit,Entire_home/apt,4,1.5,1.0,2.0,3,1125,1,30,345,64,7,4.85,4.8,4.79,0,2,0,0,0.45,7.896924656268864,32,1,1,1,1,1,1,1,0,0,0,1,2,4355,97.0,Outer_Districts,1
days_or_more,0.36,1,50.08685,14.41432,Entire rental unit,Entire_home/apt,2,1.0,1.0,1.0,2,365,1,11,50,184,0,4.19,4.9,4.3,0,8,0,0,1.15,7.135687347028144,20,1,1,1,1,1,1,1,0,0,1,0,2,4982,1876.0,Old_Town_Center,1
days_or_more,0.36,1,50.08267,14.42895,Entire rental unit,Entire_home/apt,3,1.0,1.0,2.0,2,365,1,24,64,145,7,4.04,4.79,4.29,0,8,0,0,0.89,7.064759027791802,30,1,1,0,1,0,1,1,0,0,1,1,2,4982,223.0,Old_Town_Center,1
days_or_more,0.36,1,50.0795,14.44812,Entire condo,Entire_home/apt,5,1.0,1.0,3.0,2,365,1,28,75,36,2,4.25,4.74,4.2,0,8,0,0,0.22,7.500529485395295,19,1,1,0,1,1,1,1,0,0,1,1,2,4982,251.0,Near_Center_East,1
within_hour,0.95,1,50.08354,14.41276,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,3,365,1,17,200,248,55,4.69,4.91,4.67,0,14,0,0,1.5,7.7025561132685825,35,1,1,1,1,1,1,1,1,0,0,0,3,5210,20.0,Old_Town_Center,1
Unknown,1.0,1,50.0792350769043,14.429807662963867,Entire rental unit,Entire_home/apt,3,1.0,1.0,3.0,2,1125,1,0,6,353,69,4.82,4.94,4.83,0,2,0,0,2.3,7.27931883541462,55,1,1,1,1,1,1,1,1,0,0,1,2,4987,70.0,Old_Town_Center,1
within_hours,1.0,1,50.07822,14.42362,Entire rental unit,Entire_home/apt,8,2.0,3.0,6.0,3,1125,1,29,270,30,1,4.87,4.8,4.53,1,1,0,0,0.25,8.480736654405622,32,1,1,0,1,1,1,1,1,0,0,1,2,4355,97.0,Old_Town_Center,1
within_hour,0.93,1,50.08977,14.42237,Entire loft,Entire_home/apt,9,2.0,3.0,4.0,2,1125,1,4,270,326,49,4.56,4.97,4.63,0,44,0,0,2.27,8.204671828950811,34,1,1,1,1,1,1,1,1,1,0,1,3,4175,23.0,Old_Town_Center,1
within_hour,1.0,1,50.10398,14.44845,Entire rental unit,Entire_home/apt,3,1.5,2.0,2.0,3,30,1,6,113,160,26,4.88,4.68,4.8,0,1,0,0,1.11,7.241366283322318,47,1,1,1,1,1,1,0,1,0,1,0,2,4346,14.0,North_West_Districts,1
days_or_more,0.0,1,50.08818,14.46965,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,6,1125,1,0,70,11,0,4.9,4.8,4.9,0,1,0,0,0.08,6.851184927493743,14,1,1,0,1,1,1,1,1,0,0,1,2,4345,2993.0,Near_Center_East,1
within_day,0.78,1,50.08143,14.42135,Entire rental unit,Entire_home/apt,4,1.5,2.0,2.0,3,30,1,5,145,176,15,4.75,4.88,4.66,0,2,0,0,1.22,7.798523053625206,35,1,1,1,1,1,1,1,0,0,0,1,2,4343,26.0,Old_Town_Center,1
within_hour,0.95,1,50.13338,14.46444,Entire rental unit,Entire_home/apt,4,1.0,2.0,4.0,1,1125,1,11,199,292,42,4.43,4.59,4.6,0,1,0,0,2.05,6.795705775173514,19,1,1,1,1,1,1,1,1,0,0,0,3,4340,5.0,Near_Center_East,1
within_hour,0.93,1,50.08977,14.42237,Entire rental unit,Entire_home/apt,4,1.5,1.0,1.0,2,1125,1,24,343,284,43,4.62,4.98,4.66,0,44,0,0,2.04,7.523481312573497,31,1,1,1,1,1,1,1,1,1,0,1,3,4175,22.0,Old_Town_Center,1
within_hour,1.0,1,50.08754,14.41994,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,2,1125,1,19,154,647,55,4.9,4.98,4.85,0,2,0,0,4.52,8.049746290952191,56,1,1,1,1,1,1,1,1,0,1,1,3,4329,17.0,Old_Town_Center,1
within_hour,0.99,1,50.09169,14.42618,Entire rental unit,Entire_home/apt,7,2.5,3.0,5.0,3,1124,1,14,265,185,18,4.91,4.97,4.88,0,7,0,0,1.3,8.73052880173936,35,1,1,1,1,1,1,1,1,0,0,1,2,4797,56.0,Old_Town_Center,1
within_hour,1.0,1,50.08499,14.45316,Entire rental unit,Entire_home/apt,4,1.0,0.0,2.0,3,180,1,17,205,630,72,4.79,4.66,4.79,1,3,0,0,4.11,6.838405200847344,30,1,1,1,1,1,1,1,0,0,0,1,2,5002,3.0,Near_Center_East,1
within_hour,1.0,1,50.07912,14.40417,Entire rental unit,Entire_home/apt,11,2.5,4.0,9.0,1,1125,1,11,34,53,7,4.65,4.68,4.6,1,8,0,0,0.32,7.9976631270201,29,1,1,1,1,1,1,1,0,0,1,0,3,4966,36.0,Near_Center_West_South,1
within_hour,1.0,1,50.07688,14.41391,Entire rental unit,Entire_home/apt,12,1.5,3.0,11.0,1,365,1,15,272,290,42,4.66,4.88,4.71,1,36,0,0,1.85,8.349011198176003,20,1,1,0,1,0,1,1,1,0,0,1,2,5149,21.0,Old_Town_Center,1
within_hour,1.0,1,50.07687,14.41414,Entire rental unit,Entire_home/apt,7,1.5,2.0,6.0,1,365,1,11,338,158,11,4.49,4.83,4.5,1,36,0,0,0.98,7.877397186353287,20,1,1,1,1,0,1,1,1,0,0,1,2,5149,49.0,Old_Town_Center,1
within_hour,1.0,1,50.07923186310829,14.419146421482573,Entire rental unit,Entire_home/apt,12,1.5,3.0,12.0,1,365,1,21,289,90,18,4.3,4.82,4.45,1,36,0,0,0.56,8.230044310126114,21,1,1,0,1,0,1,1,1,0,0,1,2,5149,35.0,Old_Town_Center,1
within_hour,1.0,1,50.07902,14.40382,Entire rental unit,Entire_home/apt,10,2.0,3.0,7.0,1,1125,1,14,53,24,1,4.58,4.79,4.79,1,8,0,0,0.17,8.034306936339489,31,1,1,1,1,1,1,1,0,0,1,0,3,4966,9.0,Near_Center_West_South,1
within_hour,1.0,1,50.09146,14.41863,Entire rental unit,Entire_home/apt,12,2.0,3.0,12.0,1,365,1,22,287,182,15,4.27,4.94,4.44,1,36,0,0,1.24,8.336150816120663,22,1,1,0,1,1,1,1,1,0,0,1,2,5149,35.0,Old_Town_Center,1
within_hours,0.64,1,50.08737,14.41071,Entire rental unit,Entire_home/apt,5,1.0,2.0,6.0,2,10,1,13,25,279,13,4.59,4.94,4.7,0,1,0,0,1.7,7.87359778968554,20,1,1,0,1,0,1,1,1,0,1,0,2,4930,20.0,Old_Town_Center,1
within_hour,0.98,1,50.08704,14.43397,Entire condo,Entire_home/apt,3,1.0,1.0,4.0,3,365,1,9,209,532,51,4.83,4.87,4.85,0,3,0,0,3.26,7.1372784372603855,39,1,1,1,1,1,1,1,1,0,0,1,2,5438,7.0,Old_Town_Center,1
within_day,0.44,1,50.07283,14.4296,Entire rental unit,Entire_home/apt,4,1.0,0.0,1.0,1,1125,1,30,364,145,0,4.78,4.63,4.81,0,15,1,0,1.02,8.592671652592143,9,1,1,1,1,0,0,1,0,0,1,0,3,4595,459.0,New_Town_Vinohrady,1
within_hour,1.0,1,50.08827,14.39989,Entire loft,Entire_home/apt,4,1.0,0.0,4.0,30,365,1,21,356,135,6,4.7,4.92,4.64,0,3,0,0,0.96,7.591861714889934,41,1,1,1,1,1,1,0,0,0,1,1,2,4376,72.0,Old_Town_Center,1
within_hour,1.0,1,50.07183074951172,14.438589096069336,Entire serviced apartment,Entire_home/apt,4,1.5,2.0,2.0,1,1125,1,21,293,6,0,4.67,5.0,4.67,1,18,1,0,0.14,8.366602832783736,53,1,1,1,1,1,1,1,1,0,1,1,3,4323,654.0,New_Town_Vinohrady,1
within_day,0.17,1,50.04435,14.45453,Entire rental unit,Entire_home/apt,5,1.5,2.0,3.0,3,366,1,29,325,34,0,4.45,4.24,4.56,0,2,0,0,0.24,7.946263643580541,30,0,1,0,1,1,1,0,1,0,1,1,2,4563,1053.0,Outer_Districts,1
within_hour,1.0,1,50.0848,14.4487,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,2,365,1,17,58,396,56,4.53,4.42,4.66,1,101,0,0,2.76,7.077498053569231,22,1,1,1,1,1,1,1,1,0,1,1,2,5303,11.0,Near_Center_East,1
