host_acceptance_rate,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,num_amenities,amenity_wifi,amenity_kitchen,amenity_air_conditioning,amenity_heating,amenity_washer,amenity_dryer,amenity_tv,amenity_parking,amenity_pool,amenity_pets_allowed,amenity_long_term_stays_allowed,num_host_verifications,host_duration_days,days_since_last_review,has_reviews,calculated_host_listings_count_shared_rooms_log,bathrooms_log,calculated_host_listings_count_private_rooms_log,host_acceptance_rate_log,beds_log,days_since_last_review_log,number_of_reviews_log,bedrooms_log,reviews_per_month_log,accommodates_log,calculated_host_listings_count_entire_homes_log,number_of_reviews_ltm_log,host_response_time_Unknown,host_response_time_days_or_more,host_response_time_within_day,host_response_time_within_hour,host_response_time_within_hours,room_type_Entire_home/apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room,neighbourhood_group_Near_Center_East,neighbourhood_group_Near_Center_West_South,neighbourhood_group_New_Town_Vinohrady,neighbourhood_group_North_West_Districts,neighbourhood_group_Old_Town_Center,neighbourhood_group_Outer_Districts,property_type_freq,log_price
1.0,1,50.10039,14.4313,3,1.0,1.0,4.0,3,1000,29,42,76,5,4.72,4.73,4.58,0,2,0,0,0.53,37,1,1,1,1,1,1,1,1,0,1,0,2,4451,71.0,1,0.0,0.6931471805599453,0.0,0.6931471805599453,1.6094379124341003,4.276666119016055,4.343805421853684,0.6931471805599453,0.4252677354043441,1.3862943611198906,1.0986122886681098,1.791759469228055,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.609375,7.3343293503005365
1.0,1,50.09884,14.42953,5,1.5,2.0,6.0,3,1000,30,46,67,8,4.64,4.79,4.63,0,2,0,0,0.46,44,1,1,1,1,0,1,1,1,0,1,1,2,4451,73.0,1,0.0,0.9162907318741551,0.0,0.6931471805599453,1.9459101490553132,4.30406509320417,4.219507705176107,1.0986122886681098,0.3784364357202451,1.791759469228055,1.0986122886681098,2.1972245773362196,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.609375,7.683403681053826
1.0,1,50.092285,14.4329,2,1.0,1.0,1.0,3,30,0,0,37,2,4.76,4.89,4.81,0,2,0,0,0.35,18,1,1,1,1,0,1,1,1,0,0,0,2,5139,167.0,1,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,5.123963979403259,3.6375861597263857,0.6931471805599453,0.30010459245033805,1.0986122886681098,1.0986122886681098,1.0986122886681098,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.609375,7.042286171939743
1.0,1,50.08844,14.42424,4,1.0,1.0,2.0,1,365,29,35,53,1,4.69,4.96,4.51,1,69,0,0,0.31,26,1,1,0,1,1,1,1,0,0,0,1,2,5933,152.0,1,0.0,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,5.030437921392435,3.9889840465642745,0.6931471805599453,0.27002713721306015,1.6094379124341003,4.248495242049359,0.6931471805599453,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.609375,7.688913336864796
1.0,1,50.08943,14.42373,4,1.5,1.0,1.0,1,365,29,35,19,2,4.83,5.0,4.37,1,69,0,0,0.11,31,1,1,1,1,1,1,1,0,0,0,1,2,5933,253.0,1,0.0,0.9162907318741551,0.0,0.6931471805599453,0.6931471805599453,5.537334267018537,2.995732273553991,0.6931471805599453,0.10436001532424277,1.6094379124341003,4.248495242049359,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.609375,7.9996785794994505
1.0,1,50.08943,14.42373,4,1.0,1.0,2.0,1,365,29,35,33,6,4.84,4.84,4.72,1,69,0,0,0.19,27,1,1,0,1,1,1,1,0,0,0,1,2,5933,92.0,1,0.0,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,4.532599493153256,3.5263605246161616,0.6931471805599453,0.173953307123438,1.6094379124341003,4.248495242049359,1.9459101490553132,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.609375,7.688913336864796
1.0,1,50.08051,14.41487,4,1.0,1.0,2.0,1,365,30,31,20,0,4.65,4.8,4.7,1,69,0,0,0.13,26,1,1,0,1,1,1,1,0,0,0,1,2,5933,385.0,1,0.0,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,5.955837369464831,3.044522437723423,0.6931471805599453,0.12221763272424921,1.6094379124341003,4.248495242049359,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.609375,7.731053144007127
0.95,1,50.08409,14.41352,4,1.0,1.0,4.0,3,365,14,192,262,42,4.53,4.91,4.57,0,14,0,0,1.56,36,1,1,1,1,1,1,1,1,0,0,0,3,5210,19.0,1,0.0,0.6931471805599453,0.0,0.6678293725756554,1.6094379124341003,2.995732273553991,5.572154032177765,0.6931471805599453,0.9400072584914712,1.6094379124341003,2.70805020110221,3.7612001156935624,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.609375,7.827240901752812
0.49,1,50.07397,14.43056,6,1.0,1.0,1.0,1,1125,30,364,71,2,4.75,4.63,4.8,0,22,10,0,0.48,22,1,1,1,1,0,1,1,0,0,1,0,2,4600,195.0,1,0.0,0.6931471805599453,2.3978952727983707,0.3987761199573678,0.6931471805599453,5.278114659230517,4.276666119016055,0.6931471805599453,0.3920420877760237,1.9459101490553132,3.1354942159291497,1.0986122886681098,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.609375,7.639161171659173
0.49,1,50.07397,14.43056,6,1.0,1.0,4.0,1,1125,18,281,114,20,4.78,4.75,4.83,0,22,10,0,0.8,21,1,1,1,1,0,1,1,0,0,1,0,2,4600,104.0,1,0.0,0.6931471805599453,2.3978952727983707,0.3987761199573678,1.6094379124341003,4.653960350157523,4.74493212836325,0.6931471805599453,0.5877866649021191,1.9459101490553132,3.1354942159291497,3.044522437723423,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.609375,7.639161171659173
0.49,1,50.07397,14.43056,4,1.0,0.0,1.0,1,1125,20,338,210,5,4.8,4.73,4.85,0,22,10,0,1.44,23,1,1,1,1,0,1,1,1,0,1,0,2,4600,141.0,1,0.0,0.6931471805599453,2.3978952727983707,0.3987761199573678,0.6931471805599453,4.955827057601261,5.351858133476067,0.0,0.8919980393051105,1.6094379124341003,3.1354942159291497,1.791759469228055,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.609375,8.312626025674962
0.49,1,50.0706,14.43003,2,1.0,0.0,1.0,1,1125,27,353,173,4,4.74,4.56,4.79,0,22,10,0,1.19,22,1,1,1,1,0,1,1,0,0,1,0,2,4600,32.0,1,0.0,0.6931471805599453,2.3978952727983707,0.3987761199573678,0.6931471805599453,3.4965075614664802,5.159055299214529,0.0,0.7839015438284094,1.0986122886681098,3.1354942159291497,1.6094379124341003,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.609375,7.655864017616056
1.0,1,50.05958,14.42289,2,1.0,1.0,2.0,2,300,0,105,206,32,4.61,4.7,4.62,0,1,0,0,1.55,26,1,1,1,1,1,1,0,1,0,1,1,2,3421,70.0,1,0.0,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,4.2626798770413155,5.332718793265369,0.6931471805599453,0.9360933591703348,1.0986122886681098,0.6931471805599453,3.4965075614664802,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.609375,6.97354301952014
0.95,1,50.08409,14.41352,5,1.0,1.0,3.0,3,365,22,196,295,49,4.59,4.95,4.61,0,14,0,0,1.9,37,1,1,1,1,1,1,1,1,0,0,0,3,5210,25.0,1,0.0,0.6931471805599453,0.0,0.6678293725756554,1.3862943611198906,3.258096538021482,5.69035945432406,0.6931471805599453,1.0647107369924282,1.791759469228055,2.70805020110221,3.912023005428146,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.609375,7.679713639966372
0.95,1,50.08385,14.41463,5,1.0,1.0,3.0,3,365,12,167,441,43,4.66,4.96,4.71,0,14,0,0,2.6,35,1,1,1,1,1,1,1,1,0,0,0,3,5210,21.0,1,0.0,0.6931471805599453,0.0,0.6678293725756554,1.3862943611198906,3.091042453358316,6.091309882077698,0.6931471805599453,1.2809338454620642,1.791759469228055,2.70805020110221,3.784189633918261,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.609375,7.774435510302958
1.0,1,50.07744,14.4141,12,1.5,3.0,12.0,1,365,20,273,148,14,4.64,4.88,4.71,1,36,0,0,0.9,20,1,1,0,1,0,1,1,1,0,0,1,2,5149,82.0,1,0.0,0.9162907318741551,0.0,0.6931471805599453,2.5649493574615367,4.418840607796598,5.003946305945459,1.3862943611198906,0.6418538861723948,2.5649493574615367,3.6109179126442243,2.70805020110221,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.609375,8.17526610411206
0.99,1,50.08588,14.42145,2,1.0,1.0,1.0,2,15,15,208,653,50,4.76,4.95,4.79,1,1,0,0,3.86,21,1,1,1,1,0,1,1,0,0,0,1,2,5081,65.0,1,0.0,0.6931471805599453,0.0,0.688134638736401,0.6931471805599453,4.189654742026425,6.483107351457199,0.6931471805599453,1.5810384379124023,1.0986122886681098,0.6931471805599453,3.9318256327243257,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.609375,7.591357046698551
